timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759261222753,7,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-1,text,false,,273,181,1,1,http://localhost:3001/character/1,7,0,2
1759261222763,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-2,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,1
1759261222774,5,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-3,text,false,,273,181,1,1,http://localhost:3001/character/1,5,0,1
1759261222784,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-4,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,0
1759261222793,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-5,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,0
1759261222805,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-6,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,0
1759261222813,6,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-7,text,false,,273,181,1,1,http://localhost:3001/character/1,6,0,0
1759261222825,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-8,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,1
1759261222835,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-9,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,1
1759261222844,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-10,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,0
1759261222854,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-11,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,0
1759261222864,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-12,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,0
1759261222873,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-13,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,1
1759261222883,5,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-14,text,false,,273,181,1,1,http://localhost:3001/character/1,5,0,0
1759261222893,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-15,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,1
1759261222903,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-16,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,1
1759261222913,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-17,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,0
1759261222923,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-18,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,1
1759261222933,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-19,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,0
